Global-Mean Surface Temperature
 
Temperature Anomaly (\So\C)
Year Monthly_Mean_(GHCN4)
1934.38 -0.09
1934.46 -0.15
1934.54 -0.1
1934.62 -0.12
1934.71 -0.15
1934.79 -0.06
1934.88 0.03
1934.96 -0.02
1935.04 -0.33
1935.12 0.15
1935.21 -0.14
1935.29 -0.36
1935.38 -0.29
1935.46 -0.27
1935.54 -0.21
1935.62 -0.22
1935.71 -0.21
1935.79 -0.06
1935.88 -0.26
1935.96 -0.17
1936.04 -0.27
1936.12 -0.38
1936.21 -0.21
1936.29 -0.2
1936.38 -0.16
1936.46 -0.22
1936.54 -0.1
1936.62 -0.13
1936.71 -0.09
1936.79 -0.03
1936.88 0.02
1936.96 -0.01
1937.04 -0.07
1937.12 0.03
1937.21 -0.2
1937.29 -0.16
1937.38 -0.05
1937.46 -0.05
1937.54 -0.03
1937.62 0.01
1937.71 0.09
1937.79 0.09
1937.88 0.08
1937.96 -0.07
1938.04 0.08
1938.12 0.03
1938.21 0.09
1938.29 0.06
1938.38 -0.09
1938.46 -0.17
1938.54 -0.09
1938.62 -0.05
1938.71 0.01
1938.79 0.15
1938.88 0.08
1938.96 -0.13
1939.04 -0.05
1939.12 -0.06
1939.21 -0.17
1939.29 -0.09
1939.38 -0.04
1939.46 -0.07
1939.54 -0.05
1939.62 -0.06
1939.71 -0.07
1939.79 -0.03
1939.88 0.07
1939.96 0.44
1940.04 0
1940.12 0.08
1940.21 0.1
1940.29 0.18
1940.38 0.11
1940.46 0.11
1940.54 0.13
1940.62 0.07
1940.71 0.15
1940.79 0.11
1940.88 0.17
1940.96 0.32
1941.04 0.18
1941.12 0.31
1941.21 0.1
1941.29 0.16
1941.38 0.17
1941.46 0.13
1941.54 0.22
1941.62 0.15
1941.71 0.02
1941.79 0.35
1941.88 0.23
1941.96 0.22
1942.04 0.3
1942.12 0.03
1942.21 0.05
1942.29 0.1
1942.38 0.11
1942.46 0.05
1942.54 0.01
1942.62 -0.04
1942.71 -0.03
1942.79 0.02
1942.88 0.1
1942.96 0.13
1943.04 -0.01
1943.12 0.18
1943.21 -0.03
1943.29 0.11
1943.38 0.07
1943.46 -0.05
1943.54 0.09
1943.62 0.01
1943.71 0.05
1943.79 0.23
1943.88 0.2
1943.96 0.24
1944.04 0.36
1944.12 0.25
1944.21 0.26
1944.29 0.19
1944.38 0.19
1944.46 0.15
1944.54 0.18
1944.62 0.18
1944.71 0.28
1944.79 0.26
1944.88 0.11
1944.96 0.04
1945.04 0.1
1945.12 0
1945.21 0.06
1945.29 0.19
1945.38 0.06
1945.46 0
1945.54 0.04
1945.62 0.26
1945.71 0.2
1945.79 0.18
1945.88 0.07
1945.96 -0.07
1946.04 0.15
1946.12 0.02
1946.21 0.01
1946.29 0.05
1946.38 -0.07
1946.46 -0.21
1946.54 -0.12
1946.62 -0.2
1946.71 -0.08
1946.79 -0.08
1946.88 -0.05
1946.96 -0.31
1947.04 -0.06
1947.12 -0.08
1947.21 0.06
1947.29 0.06
1947.38 -0.02
1947.46 -0.02
1947.54 -0.04
1947.62 -0.07
1947.71 -0.13
1947.79 0.07
1947.88 0.03
1947.96 -0.14
1948.04 0.06
1948.12 -0.15
1948.21 -0.24
1948.29 -0.12
1948.38 -0.01
1948.46 -0.05
1948.54 -0.11
1948.62 -0.12
1948.71 -0.15
1948.79 -0.05
1948.88 -0.13
1948.96 -0.24
1949.04 0.06
1949.12 -0.14
1949.21 -0.02
1949.29 -0.11
1949.38 -0.1
1949.46 -0.27
1949.54 -0.13
1949.62 -0.13
1949.71 -0.15
1949.79 -0.07
1949.88 -0.1
1949.96 -0.18
1950.04 -0.26
1950.12 -0.27
1950.21 -0.08
1950.29 -0.21
1950.38 -0.11
1950.46 -0.05
1950.54 -0.09
1950.62 -0.16
1950.71 -0.12
1950.79 -0.2
1950.88 -0.34
1950.96 -0.22
1951.04 -0.34
1951.12 -0.42
1951.21 -0.2
1951.29 -0.14
1951.38 0
1951.46 -0.07
1951.54 -0.01
1951.62 0.06
1951.71 0.05
1951.79 0.08
1951.88 -0.01
1951.96 0.16
1952.04 0.11
1952.12 0.11
1952.21 -0.08
1952.29 0.03
1952.38 -0.03
1952.46 -0.03
1952.54 0.04
1952.62 0.05
1952.71 0.07
1952.79 0
1952.88 -0.13
1952.96 -0.02
1953.04 0.07
1953.12 0.15
1953.21 0.11
1953.29 0.19
1953.38 0.11
1953.46 0.11
1953.54 0.01
1953.62 0.05
1953.71 0.04
1953.79 0.08
1953.88 -0.03
1953.96 0.05
1954.04 -0.24
1954.12 -0.1
1954.21 -0.15
1954.29 -0.14
1954.38 -0.2
1954.46 -0.19
1954.54 -0.19
1954.62 -0.18
1954.71 -0.1
1954.79 -0.02
1954.88 0.08
1954.96 -0.18
1955.04 0.13
1955.12 -0.16
1955.21 -0.32
1955.29 -0.22
1955.38 -0.2
1955.46 -0.14
1955.54 -0.11
1955.62 0.02
1955.71 -0.11
1955.79 -0.05
1955.88 -0.25
1955.96 -0.28
1956.04 -0.13
1956.12 -0.24
1956.21 -0.21
1956.29 -0.28
1956.38 -0.29
1956.46 -0.16
1956.54 -0.09
1956.62 -0.26
1956.71 -0.19
1956.79 -0.23
1956.88 -0.15
1956.96 -0.06
1957.04 -0.09
1957.12 -0.03
1957.21 -0.05
1957.29 0
1957.38 0.09
1957.46 0.16
1957.54 0.02
1957.62 0.15
1957.71 0.09
1957.79 0.01
1957.88 0.08
1957.96 0.15
1958.04 0.39
1958.12 0.22
1958.21 0.08
1958.29 0.01
1958.38 0.06
1958.46 -0.09
1958.54 0.05
1958.62 -0.05
1958.71 -0.02
1958.79 0.04
1958.88 0.02
1958.96 0.01
1959.04 0.08
1959.12 0.07
1959.21 0.18
1959.29 0.15
1959.38 0.04
1959.46 0.03
1959.54 0.03
1959.62 -0.01
1959.71 -0.06
1959.79 -0.07
1959.88 -0.08
1959.96 -0.01
1960.04 0
1960.12 0.13
1960.21 -0.35
1960.29 -0.15
1960.38 -0.08
1960.46 -0.04
1960.54 -0.04
1960.62 0.02
1960.71 0.07
1960.79 0.05
1960.88 -0.12
1960.96 0.18
1961.04 0.07
1961.12 0.19
1961.21 0.09
1961.29 0.13
1961.38 0.12
1961.46 0.11
1961.54 0.01
1961.62 0.01
1961.71 0.09
1961.79 0
1961.88 0.03
1961.96 -0.16
1962.04 0.05
1962.12 0.15
1962.21 0.1
1962.29 0.05
1962.38 -0.06
1962.46 0.03
1962.54 0.02
1962.62 -0.01
1962.71 0
1962.79 0.01
1962.88 0.06
1962.96 -0.03
1963.04 -0.03
1963.12 0.18
1963.21 -0.14
1963.29 -0.07
1963.38 -0.06
1963.46 0.05
1963.54 0.06
1963.62 0.22
1963.71 0.18
1963.79 0.14
1963.88 0.15
1963.96 -0.03
1964.04 -0.09
1964.12 -0.1
1964.21 -0.22
1964.29 -0.32
1964.38 -0.25
1964.46 -0.04
1964.54 -0.04
1964.62 -0.22
1964.71 -0.29
1964.79 -0.32
1964.88 -0.21
1964.96 -0.3
1965.04 -0.08
1965.12 -0.17
1965.21 -0.13
1965.29 -0.19
1965.38 -0.12
1965.46 -0.08
1965.54 -0.13
1965.62 -0.04
1965.71 -0.15
1965.79 -0.05
1965.88 -0.06
1965.96 -0.08
1966.04 -0.19
1966.12 -0.05
1966.21 0.03
1966.29 -0.13
1966.38 -0.12
1966.46 0.01
1966.54 0.08
