time,TSI
1933-11-15,1360.475
1933-12-15,1360.4774
1934-01-15,1360.5034
1934-02-15,1360.5635
1934-03-15,1360.5627
1934-04-15,1360.4758
1934-05-15,1360.5172
1934-06-15,1360.562
1934-07-15,1360.597
1934-08-15,1360.5574
1934-09-15,1360.549
1934-10-15,1360.5812
1934-11-15,1360.5797
1934-12-15,1360.6672
1935-01-15,1360.6686
1935-02-15,1360.7166
1935-03-15,1360.7548
1935-04-15,1360.725
1935-05-15,1360.7843
1935-06-15,1360.767
1935-07-15,1360.8033
1935-08-15,1360.9171
1935-09-15,1361.016
1935-10-15,1361.1267
1935-11-15,1360.6708
1935-12-15,1360.6354
1936-01-15,1360.674
1936-02-15,1361.1335
1936-03-15,1361.2042
1936-04-15,1361.2412
1936-05-15,1361.3362
1936-06-15,1361.2046
1936-07-15,1361.2474
1936-08-15,1361.2675
1936-09-15,1361.4519
1936-10-15,1361.4355
1936-11-15,1361.0657
1936-12-15,1361.4769
1937-01-15,1361.3695
1937-02-15,1361.5115
1937-03-15,1361.6096
1937-04-15,1360.9137
1937-05-15,1361.088
1937-06-15,1360.91
1937-07-15,1360.7224
1937-08-15,1361.326
1937-09-15,1361.561
1937-10-15,1360.7378
1937-11-15,1361.5353
1937-12-15,1361.2079
1938-01-15,1360.8151
1938-02-15,1361.0653
1938-03-15,1361.1438
1938-04-15,1360.9077
1938-05-15,1361.1544
1938-06-15,1361.6017
1938-07-15,1360.8873
1938-08-15,1361.725
1938-09-15,1361.1876
1938-10-15,1361.0677
1938-11-15,1360.8862
1938-12-15,1361.0945
1939-01-15,1361.3412
1939-02-15,1361.3158
1939-03-15,1361.4708
1939-04-15,1361.117
1939-05-15,1361.5515
1939-06-15,1361.681
1939-07-15,1360.8871
1939-08-15,1360.6354
1939-09-15,1360.2566
1939-10-15,1360.8112
1939-11-15,1360.9213
1939-12-15,1361.1184
1940-01-15,1360.6587
1940-02-15,1360.8864
1940-03-15,1360.8699
1940-04-15,1361.3077
1940-05-15,1361.1316
1940-06-15,1360.9539
1940-07-15,1361.2844
1940-08-15,1360.6552
1940-09-15,1361.0126
1940-10-15,1360.8889
1940-11-15,1361.2136
1940-12-15,1361.1277
1941-01-15,1361.1228
1941-02-15,1361.0526
1941-03-15,1361.0094
1941-04-15,1360.9364
1941-05-15,1361.029
1941-06-15,1360.8502
1941-07-15,1360.8745
1941-08-15,1360.9788
1941-09-15,1360.6381
1941-10-15,1360.7107
1941-11-15,1360.7926
1941-12-15,1360.9412
1942-01-15,1360.9565
1942-02-15,1360.674
1942-03-15,1360.7765
1942-04-15,1360.7776
1942-05-15,1360.952
1942-06-15,1360.7859
1942-07-15,1360.6885
1942-08-15,1360.7557
1942-09-15,1360.8306
1942-10-15,1360.7882
1942-11-15,1360.6683
1942-12-15,1360.8231
1943-01-15,1360.8169
1943-02-15,1360.5012
1943-03-15,1360.527
1943-04-15,1360.4232
1943-05-15,1360.6753
1943-06-15,1360.7239
1943-07-15,1360.6205
1943-08-15,1360.7764
1943-09-15,1360.6228
1943-10-15,1360.5632
1943-11-15,1360.6547
1943-12-15,1360.5936
1944-01-15,1360.6396
1944-02-15,1360.6157
1944-03-15,1360.5892
1944-04-15,1360.5981
1944-05-15,1360.6041
1944-06-15,1360.6467
1944-07-15,1360.6857
1944-08-15,1360.7839
1944-09-15,1360.6704
1944-10-15,1360.7708
1944-11-15,1360.7588
1944-12-15,1360.7079
1945-01-15,1360.8806
1945-02-15,1360.8346
1945-03-15,1360.6263
1945-04-15,1360.7291
1945-05-15,1361.0253
1945-06-15,1361.0265
1945-07-15,1360.9521
1945-08-15,1360.9597
1945-09-15,1360.9948
1945-10-15,1360.9065
1945-11-15,1361.2758
1945-12-15,1361.08
1946-01-15,1360.827
1946-02-15,1360.3069
1946-03-15,1361.199
1946-04-15,1361.2039
1946-05-15,1361.3057
1946-06-15,1361.5603
1946-07-15,1360.4669
1946-08-15,1360.9036
1946-09-15,1361.1959
1946-10-15,1361.6437
1946-11-15,1361.4479
1946-12-15,1360.9579
1947-01-15,1361.2114
1947-02-15,1360.8534
1947-03-15,1360.6289
1947-04-15,1360.7042
1947-05-15,1361.1392
1947-06-15,1362.1012
1947-07-15,1361.7238
1947-08-15,1361.2229
1947-09-15,1361.883
1947-10-15,1361.6635
1947-11-15,1361.9031
1947-12-15,1361.6594
1948-01-15,1361.9526
1948-02-15,1361.725
1948-03-15,1361.6381
1948-04-15,1361.0961
1948-05-15,1361.0964
1948-06-15,1361.2706
1948-07-15,1361.6278
1948-08-15,1361.6597
1948-09-15,1361.5513
1948-10-15,1361.6069
1948-11-15,1361.7855
1948-12-15,1361.0695
1949-01-15,1361.3904
1949-02-15,1360.82
1949-03-15,1361.2458
1949-04-15,1361.8492
1949-05-15,1361.8179
1949-06-15,1361.4829
1949-07-15,1361.4705
1949-08-15,1361.1123
1949-09-15,1361.3372
1949-10-15,1361.4119
1949-11-15,1361.3105
1949-12-15,1361.611
1950-01-15,1361.4272
1950-02-15,1360.9884
1950-03-15,1361.3715
1950-04-15,1360.6473
1950-05-15,1361.178
1950-06-15,1361.248
1950-07-15,1361.1128
1950-08-15,1361.0787
1950-09-15,1361.2542
1950-10-15,1361.1411
1950-11-15,1360.9414
1950-12-15,1361.0018
1951-01-15,1360.807
1951-02-15,1361.0625
1951-03-15,1360.9978
1951-04-15,1360.6427
1951-05-15,1360.1709
1951-06-15,1360.2627
1951-07-15,1361.1392
1951-08-15,1361.1224
1951-09-15,1361.0249
1951-10-15,1361.0039
1951-11-15,1361.098
1951-12-15,1360.873
1952-01-15,1360.8774
1952-02-15,1360.7963
1952-03-15,1360.8236
1952-04-15,1360.7925
1952-05-15,1360.9073
1952-06-15,1360.9293
1952-07-15,1360.8221
1952-08-15,1360.902
1952-09-15,1360.9069
1952-10-15,1360.7372
1952-11-15,1360.6333
1952-12-15,1360.7377
1953-01-15,1360.7219
1953-02-15,1360.7974
1953-03-15,1360.7286
1953-04-15,1360.5734
1953-05-15,1360.7152
1953-06-15,1360.6467
1953-07-15,1360.6938
1953-08-15,1360.6178
1953-09-15,1360.71
1953-10-15,1360.718
1953-11-15,1360.7057
1953-12-15,1360.7035
1954-01-15,1360.6978
1954-02-15,1360.6865
1954-03-15,1360.6019
1954-04-15,1360.7036
1954-05-15,1360.6816
1954-06-15,1360.6687
1954-07-15,1360.6752
1954-08-15,1360.7115
1954-09-15,1360.7015
1954-10-15,1360.8026
1954-11-15,1360.7477
1954-12-15,1360.732
